Year,type,CO2,target
2019,Old,730.2449322,TRUE
2030,Old,517,TRUE
2019,New,730.2449322,TRUE
2030,New,443,TRUE
1990,CO2eq,601.5236931,FALSE
1991,CO2eq,595.7767263,FALSE
1992,CO2eq,613.5906402,FALSE
1993,CO2eq,616.7983943,FALSE
1994,CO2eq,638.0004703,FALSE
1995,CO2eq,656.2971871,FALSE
1996,CO2eq,678.7106864,FALSE
1997,CO2eq,691.1943566,FALSE
1998,CO2eq,696.9015186,FALSE
1999,CO2eq,709.6009243,FALSE
2000,CO2eq,733.5113373,FALSE
2001,CO2eq,722.9350121,FALSE
2002,CO2eq,726.5551835,FALSE
2003,CO2eq,744.8318868,FALSE
2004,CO2eq,745.9197824,FALSE
2005,CO2eq,738.7172959,FALSE
2006,CO2eq,730.0990825,FALSE
2007,CO2eq,751.661271,FALSE
2008,CO2eq,735.6928521,FALSE
2009,CO2eq,693.5978977,FALSE
2010,CO2eq,702.8027469,FALSE
2011,CO2eq,714.07775,FALSE
2012,CO2eq,717.1711766,FALSE
2013,CO2eq,725.371843,FALSE
2014,CO2eq,722.5576706,FALSE
2015,CO2eq,723.094161,FALSE
2016,CO2eq,706.9318195,FALSE
2017,CO2eq,716.0903364,FALSE
2018,CO2eq,728.475065,FALSE
2019,CO2eq,730.2449322,FALSE
